frame,kind,true_x,true_y,est_x,est_y,err_x,err_y
0,car,11.9,-1.1974853955781322,11.963097325622808,-1.1987339918040172,0.06309732562280779,-0.0012485962258850236
0,car,23.69708297899032,3.60712308450365,24.813964790355897,3.5933294097932307,1.1168818113655767,-0.013793674710419257
0,motorcycle,8.05,0.012808453008865642,8.066791285287136,0.019840661093308763,0.016791285287135693,0.007032208084443121
0,bus,28.5,-4.497901997656939,28.588630980350725,-4.102283496446795,0.08863098035072525,0.3956185012101443
0,rickshaw,17.466889190918078,5.389286612536778,17.264665616871643,4.9387384209574785,-0.20222357404643532,-0.4505481915792995
1,car,11.944998312518985,-1.1781218373130127,11.896616673379787,-1.139522656065627,-0.048381639139197574,0.038599181247385594
1,car,23.677083312321987,3.6076596413521593,23.736274561578185,3.4022511762452665,0.05919124925619812,-0.2054084651068928
1,motorcycle,8.13748213651084,0.08053208335768414,8.08983182575873,0.08623211620880152,-0.047650310752111125,0.005700032851117379
1,bus,28.5,-4.509154516513346,28.71753739335191,-4.160983188432871,0.21753739335191113,0.34817132808047546
1,rickshaw,17.466889190918078,5.404403902469402,17.174338257677935,4.894176385531995,-0.29255093324014325,-0.5102275169374071
2,car,11.989986500607488,-1.1528690563702781,12.09872496377513,-1.1633784017285176,0.1087384631676418,-0.010509345358239441
2,car,23.657085645603654,3.6107187000463625,22.895041795598612,3.3077423566664668,-0.7620438500050426,-0.30297634337989576
2,motorcycle,8.224857118343833,0.19764372557322268,8.173470614648025,0.2086638654188851,-0.05138650369580766,0.011020139845662413
2,bus,28.5,-4.4868705012984735,28.464294856231216,-4.021612900202743,-0.03570514376878364,0.4652576010957308
2,rickshaw,17.466889190918078,5.374232770725009,17.06461786508177,4.88769052353636,-0.4022713258363062,-0.48654224718864914
3,car,12.034954442112982,-1.166464853582072,12.13602700934406,-1.1590763305736336,0.10107256723107838,0.007388523008438508
3,car,23.637091978585328,3.6335960183776788,23.065707234427034,3.3300354262294896,-0.5713847441582942,-0.3035605921481892
3,motorcycle,8.312017922072206,0.3147996839784468,8.25934506627201,0.3311356377036463,-0.052672855800196317,0.01633595372519947
3,bus,28.5,-4.499018907723494,27.81003967603642,-3.9520797673612713,-0.6899603239635788,0.5469391403622228
3,rickshaw,17.466889190918078,5.440047851672905,17.79183975546548,5.218287227348244,0.3249505645474038,-0.22176062432466104
4,car,12.079892019438335,-1.11007960968504,12.292738911415535,-1.1173590612321957,0.21284689197720041,-0.007279451547155702
